id;name;surname;gender;date_of_birth;year;hogsmeade_consent;house_id;dormitory_id
0;Myra;MacTavish;F;2010-03-19;4;1;3;3
1;Charles;Hull;M;2012-11-01;2;0;3;46
2;Zak;Shipston;M;2012-09-03;2;0;2;36
3;Preston;Bidmead;M;2007-03-23;7;1;1;4
4;Yvonne;Hartley;F;2008-12-09;6;0;0;97
5;Hervey;Carpenter;M;2010-05-11;4;1;3;112
6;Sylvie;Crisco;F;2008-11-27;6;1;3;93
7;Gertie;Galloway;F;2010-04-17;4;1;1;73
8;Sandy;Luckinbill;M;2012-02-11;2;0;3;66
9;Babette;Manly;F;2011-07-29;3;1;3;121
10;Blossom;Sellman;F;2013-09-15;1;0;3;59
11;Dwight;Blair;M;2012-12-28;2;0;2;98
12;Primrose;Belchier;F;2011-12-30;3;1;1;55
13;Joe;Tambling;M;2013-10-31;1;0;0;38
14;Morgan;Jacobs;M;2007-05-05;7;1;1;124
15;Sammy;Clower;M;2007-12-14;7;1;2;10
16;Ealdgyth;Coberly;F;2007-04-03;7;1;1;65
17;Graham;Westmoreland;M;2010-03-26;4;1;2;72
18;Winston;Beazley;M;2009-06-03;5;1;1;124
19;Kennedy;Jeffress;M;2007-01-24;7;1;2;10
20;Curtley;Love;M;2011-08-05;3;1;0;106
21;Edward;Head;M;2009-03-31;5;1;0;96
22;Andy;Connolly;F;2011-11-26;3;1;1;59
23;Eadgifu;Bampfylde;F;2007-03-23;7;1;2;121
24;Sadie;Finnis;F;2013-09-21;1;0;1;91
25;Dulcie;Modesitt;F;2008-11-23;6;1;2;115
26;James;Fardell;M;2013-01-28;1;0;3;48
27;Gwendoline;Cadman;F;2013-01-25;1;0;0;47
28;Harris;Sickler;M;2010-01-27;4;1;3;38
29;Haley;McKey;F;2013-10-01;1;0;2;77
30;Ruby;Ratliff;F;2012-12-30;2;0;2;67
31;Laurens;Cobb;M;2008-04-03;6;1;2;48
32;Ev;Willson;M;2010-01-21;4;1;2;96
33;Alberta;Patten;F;2007-04-01;7;1;3;43
34;Duke;Tuckey;M;2012-11-30;2;0;0;92
35;Francis;Wallis;M;2007-01-12;7;1;1;60
36;Dimity;Sosebee;F;2008-08-05;6;1;2;11
37;Salma;Watters;F;2009-06-06;5;1;0;21
38;Malcolm;Seabaugh;M;2010-01-20;4;1;3;16
39;Sylvia;Moat;F;2013-12-23;1;0;0;25
40;Lori;Dugdale;F;2008-01-28;6;1;2;19
41;Gus;Mulgrew;M;2009-01-13;5;1;3;110
42;Lotty;Nance;F;2010-08-10;4;1;1;7
43;Sigmund;Costin;M;2009-02-23;5;1;0;32
44;Bobby;Hepburn;F;2013-08-25;1;0;0;113
45;Betty;Wathey;F;2009-01-30;5;1;0;41
46;Increase;Downing;M;2012-06-28;2;0;1;24
47;Alyson;Manning;F;2011-02-04;3;1;1;59
48;Yvette;Owen;F;2008-03-01;6;1;3;125
49;Esty;Farrow;F;2009-06-13;5;1;2;77
50;Karli;Barnard;F;2011-06-29;3;1;2;63
51;Perry;Way;M;2010-10-25;4;1;2;122
52;Buddy;Strahorn;M;2012-05-11;2;0;3;84
53;Arabella;Frobisher;F;2011-06-21;3;1;1;29
54;Blanche;Street;F;2007-04-14;7;1;1;23
55;Jason;Hawkins;M;2007-05-18;7;1;0;4
56;Leo;Brazil;M;2013-08-30;1;0;0;80
57;Hector;Drinkwater;M;2013-03-10;1;0;0;2
58;Carmelita;Fletcher;F;2012-01-05;2;0;3;111
59;Chet;Odell;M;2007-05-21;7;1;2;98
60;Wilf;Dick;M;2011-03-24;3;1;1;18
61;Bettina;Colwell;F;2007-08-24;7;1;1;77
62;Moe;Glasscock;M;2013-09-18;1;0;2;120
63;Lilly;Tebb;F;2008-06-14;6;1;3;37
64;Jodie;Bright;F;2011-03-07;3;1;2;5
65;Elizabeth;Allen;F;2012-07-15;2;0;1;37
66;Increase;Hutchinson;M;2011-04-13;3;1;3;90
67;Nathanael;Shapcott;M;2009-06-18;5;1;1;20
68;Daenerys;Moran;F;2011-09-08;3;1;3;85
69;Vic;Lygon;M;2010-06-10;4;1;3;62
70;Madge;Maddock;F;2007-07-13;7;0;1;17
71;Mary Belle;Robinson;F;2009-02-21;5;1;0;45
72;Colette;Chin;F;2007-08-24;7;1;1;103
73;Nicholas;Silk;M;2013-11-03;1;0;0;124
74;Bertha;Spencer-Smith;F;2007-01-03;7;1;2;31
75;Georgiana;Deane;F;2008-11-10;6;1;3;75
76;Anna;Monroy;F;2010-04-22;4;1;0;95
77;Posy;Clift;M;2007-07-04;7;1;0;50
78;Emory;Northcott;M;2009-09-12;5;1;3;44
79;Jameson;Burt;M;2013-07-23;1;0;0;68
80;Audra;Axton;F;2009-06-13;5;1;2;91
81;Toddy;Alan;M;2012-03-05;2;0;0;92
82;Jacqueline;Stromberg;F;2012-09-30;2;0;3;33
83;Audrey;Berwick;F;2012-09-14;2;0;1;55
84;Quentin;Allison;M;2012-09-30;2;0;2;126
85;Nina;Lepley;F;2009-02-20;5;1;2;21
86;Kelsey;Romney;F;2009-05-06;5;1;0;21
87;Ashton;Shepard;M;2007-06-30;7;1;2;62
88;Bartholomew;Penington;M;2011-03-30;3;1;0;74
89;Smith;Lilley;M;2008-05-21;6;1;1;86
90;Dimity;Tuttle;F;2012-04-05;2;0;3;47
91;Josie;Parkes;F;2012-09-02;2;0;3;103
92;Jolie;Poore;F;2012-02-29;2;0;3;71
93;Gareth;Iremonger;M;2010-09-17;4;1;2;124
94;Larry;Slade;M;2010-01-16;4;1;2;6
95;Lori;Hill;F;2009-12-13;5;1;3;95
96;Alex;Orpen;F;2008-03-22;6;1;1;91
97;Angus;Edgar;M;2013-07-25;1;0;0;36
98;Daenerys;Cracroft;F;2007-12-30;7;1;2;65
99;Forrest;Trollope;M;2007-05-28;7;1;3;84
100;Bram;Seabaugh;M;2012-02-22;2;0;3;12
101;Booth;Griffin;M;2008-02-20;6;1;2;84
102;Gertrude;Armitstead;F;2007-12-21;7;0;0;97
103;May;Seymour;F;2013-10-06;1;0;3;121
104;Vicky;Fuller;F;2009-01-31;5;0;0;83
105;Giovanni;Fanshawe;M;2012-01-13;2;0;2;112
106;Sol;Stone;M;2013-12-15;1;0;0;120
107;Wyndham;Glascock;M;2011-09-07;3;1;0;40
