id;name;surname;gender;date_of_birth;year;hogsmeade_consent;house_id;dormitory_id
0;Jack;Jewell;F;2007-03-03;7;1;2;80
1;Harris;Wattis;M;2007-10-14;7;1;3;92
2;Lilly;Gayfer;F;2008-12-15;6;1;1;50
3;Jay;Knapp;M;2007-01-22;7;1;2;64
4;Tigerlily;Reason;F;2010-04-15;4;1;1;47
5;Roualeyn;Colburn;M;2011-12-31;3;1;1;29
6;Leopold;Asbridge;M;2008-01-19;6;1;1;36
7;Cliff;Pilgrim;M;2009-09-15;5;1;3;90
8;Wayne;Rouse;M;2012-12-31;2;0;0;1
9;Andy;Beddington;M;2008-02-16;6;1;2;62
10;Lynnette;Trotman;F;2011-12-27;3;1;3;96
11;Sylvie;Bigwood;F;2011-08-29;3;1;0;17
12;Mara;Waering;F;2013-07-22;1;0;2;66
13;Rhett;Miller;M;2007-11-21;7;1;1;39
14;Marvin;Adlard;M;2007-08-07;7;1;2;64
15;Kelsey;Holness;M;2011-09-14;3;1;0;3
16;Terence;Cope;M;2010-03-02;4;1;0;4
17;Ultan;Naudain;M;2012-06-07;2;0;1;28
18;Ursula;Berkeley;F;2008-07-28;6;1;2;77
19;Adel;Lovejoy;M;2007-01-08;7;1;2;64
20;Velma;Welbourn;F;2013-03-09;1;0;0;14
21;Newt;Oatway;M;2007-05-04;7;0;2;64
22;Frederick;Maidment;M;2010-05-13;4;1;1;30
23;Patty;Loftin;M;2009-01-19;5;1;2;60
24;Sherry;Campbell-Bannerman;F;2008-07-07;6;1;2;76
25;Richard;Tompkins;M;2007-09-19;7;1;3;92
26;Rathbone;Mileham;M;2009-05-27;5;1;0;7
27;Karlie;Beach;F;2008-01-16;6;1;3;101
28;Cardew;Walton;M;2007-03-27;7;1;0;11
29;Leona;Stobart;F;2009-08-25;5;1;0;20
30;Nevaeh;Carr;F;2010-05-06;4;1;2;71
31;Josie;Ashley-Cooper;F;2013-09-10;1;0;2;67
32;Taylor;Dowdall;F;2008-12-12;6;1;2;77
33;Teddy;Townsend;M;2008-04-16;6;1;0;10
34;Hervey;Beeby;M;2007-11-02;7;1;0;11
